Top-level zone: System: NonStridingTopLevelMemoryZoneContainer:System[00]
Top-level zone: Setup: NonStridingTopLevelMemoryZoneContainer:Setup[10 00 00]
Top-level zone: Temporary Tone ZCore: StridingTopLevelMemoryZoneContainer:Temporary Tone ZCore [02 00 00 00..02 03 00 00/0x10000] (4 items)
Top-level zone: Temporary Tone Analog Synth Model: StridingTopLevelMemoryZoneContainer:Temporary Tone Analog Synth Model [02 10 00 00..02 13 00 00/0x10000] (4 items)
Top-level zone: Temporary Tone RD Piano: NonStridingTopLevelMemoryZoneContainer:Temporary Tone RD Piano[02 20 00 00]
Top-level zone: Temporary Tone JUPITER-X: StridingTopLevelMemoryZoneContainer:Temporary Tone JUPITER-X [02 50 00 00..02 53 00 00/0x10000] (4 items)
Struct: Setup
Struct: System Common
Struct: System Control
Struct: Button Color Set
Struct: Drive
Struct: Arpeggio Common
Struct: Arpeggio Part
Struct: Master Comp
Struct: Master EQ
Struct: Sympathetic Resonance
Struct: ToneName
Struct: ToneCom
Struct: Model Bank Assign
Struct: USRDATABLK
Struct: Partial EQ
Struct: Partial LFO
Struct: Partial Pitch Env
Struct: Partial Filter Env
Struct: Partial Amp Env
Struct: Tone Common
Struct: Tone PMT
Struct: Tone Partial
Struct: Tone Synth Common
Struct: Tone Synth PMT
Struct: Tone Synth Partial
Struct: MDLSYN0
Struct: MDLJPX
Struct: MFX
Struct: Reverb
Struct: Chorus
Top-level struct: Setup
Top-level struct: System
Top-level struct: SynMdl
Top-level struct: RDTONE
Top-level struct: MdlJPX
Top-level struct: ZCore
offset,summary
00,System[0].System Common[1(unique)].Master Tune
04,System[0].System Common[1(unique)].Master Key Shift
05,System[0].System Common[1(unique)].ScaleTune Sw
07,System[0].System Common[1(unique)].Reserved
08,System[0].System Common[1(unique)].Remote Keyboard
09,System[0].System Common[1(unique)].Control Source Select
0a,System[0].System Common[1(unique)].System Control Source(1)
0b,System[0].System Common[1(unique)].System Control Source(2)
0c,System[0].System Common[1(unique)].System Control Source(3)
0d,System[0].System Common[1(unique)].System Control Source(4)
0e,System[0].System Common[1(unique)].System Tempo
12,System[0].System Common[1(unique)].Tempo Source
13,System[0].System Common[1(unique)].Receive Program Change
14,System[0].System Common[1(unique)].Receive Bank Select
15,System[0].System Common[1(unique)].Chorus Source
16,System[0].System Common[1(unique)].Reverb Source
17,System[0].System Common[1(unique)].Delay Source
18,System[0].System Common[1(unique)].Noise Suppressor Switch
19,System[0].System Common[1(unique)].Mic Noise Supressor Threshold
1b,System[0].System Common[1(unique)].Mic Noise Supressor Release
1c,System[0].System Common[1(unique)].Mic Comp Switch
1d,System[0].System Common[1(unique)].Mic Comp Attack Time
1e,System[0].System Common[1(unique)].Mic Comp Release Time
1f,System[0].System Common[1(unique)].Mic Comp Threshold
20,System[0].System Common[1(unique)].Mic Comp Ratio
21,System[0].System Common[1(unique)].Mic Comp Knee
22,System[0].System Common[1(unique)].Mic Comp Output Gain
23,System[0].System Common[1(unique)].Mic Thru Switch
24,System[0].System Common[1(unique)].Mic Reverb Send Level
25,System[0].System Common[1(unique)].Mic Chorus Send Level
26,System[0].System Common[1(unique)].Mic Delay Send Level
27,System[0].System Common[1(unique)].USB Audio Input Level
28,System[0].System Common[1(unique)].USB Audio Output Level
29,System[0].System Common[1(unique)].Local Switch
2a,System[0].System Common[1(unique)].Aging Warm-Up
2b,System[0].System Common[1(unique)].Arpeggio Set Rhythm Tempo
2c,System[0].System Common[1(unique)].Arpeggio Set Rhythm Sound
2d,System[0].System Common[1(unique)].Arpeggio Set Type Sound
2e,System[0].System Common[1(unique)].Aging Initial Temperature
2f,System[0].System Common[1(unique)].Button Color Set
10 0,System[0].System Control[1(unique)].Transmit Program Change
01 01,System[0].System Control[1(unique)].Transmit Bank Select
01 02,System[0].System Control[1(unique)].Keyboard Velocity
01 03,System[0].System Control[1(unique)].Keyboard Velocity Curve
01 04,System[0].System Control[1(unique)].Keyboard Velocity Curve Offset
01 05,System[0].System Control[1(unique)].Assignable Button(1) Function
01 06,System[0].System Control[1(unique)].Assignable Button(2) Function
01 07,System[0].System Control[1(unique)].Assignable Button(3) Function
01 08,System[0].System Control[1(unique)].Assignable Button(1) Mode
01 09,System[0].System Control[1(unique)].Assignable Button(2) Mode
01 0a,System[0].System Control[1(unique)].Assignable Button(3) Mode
01 0b,System[0].System Control[1(unique)].Assignable Button Source
01 0c,System[0].System Control[1(unique)].Hold Pedal Source
01 0d,System[0].System Control[1(unique)].Hold Pedal Function
01 0e,System[0].System Control[1(unique)].Hold Pedal Polarity
01 0f,System[0].System Control[1(unique)].Ctrl Pedal Source
01 10,System[0].System Control[1(unique)].Ctrl Pedal Function
01 11,System[0].System Control[1(unique)].Assignable Slider(1) Source
01 12,System[0].System Control[1(unique)].Assignable Slider(2) Source
01 13,System[0].System Control[1(unique)].Assignable Slider(1) Function
01 14,System[0].System Control[1(unique)].Assignable Slider(2) Function
01 15,System[0].System Control[1(unique)].Control Wheel1 Source
01 16,System[0].System Control[1(unique)].Control Wheel1 Function
01 17,System[0].System Control[1(unique)].Control Wheel2 Source
01 18,System[0].System Control[1(unique)].Control Wheel2 Function
01 19,System[0].System Control[1(unique)].Part Button Assign [1]-[5]
01 1a,System[0].System Control[1(unique)].Part Button Assign SHIFT+[1]-[5]
01 1b,System[0].System Control[1(unique)].Part Button Assign [6]-[10]
01 1c,System[0].System Control[1(unique)].Part Button Assign SHIFT+[6]-[10]
01 1d,System[0].System Control[1(unique)].Part Button Assign [11]-[15]
01 1e,System[0].System Control[1(unique)].Part Button Assign SHIFT+[11]-[15]
01 1f,System[0].System Control[1(unique)].Aftertouch Sens
02 00,System[0].System Chorus[1(unique)].Switch
02 01,System[0].System Chorus[1(unique)].Chorus Type
02 02,System[0].System Chorus[1(unique)].Chorus Level
02 03,System[0].System Chorus[1(unique)].Reverb Send Level
02 04,System[0].System Chorus[1(unique)].Chorus Parameter 1
02 08,System[0].System Chorus[1(unique)].Chorus Parameter 2
02 0c,System[0].System Chorus[1(unique)].Chorus Parameter 3
02 10,System[0].System Chorus[1(unique)].Chorus Parameter 4
02 14,System[0].System Chorus[1(unique)].Chorus Parameter 5
02 18,System[0].System Chorus[1(unique)].Chorus Parameter 6
02 1c,System[0].System Chorus[1(unique)].Chorus Parameter 7
02 20,System[0].System Chorus[1(unique)].Chorus Parameter 8
02 24,System[0].System Chorus[1(unique)].Chorus Parameter 9
02 28,System[0].System Chorus[1(unique)].Chorus Parameter 10
02 2c,System[0].System Chorus[1(unique)].Chorus Parameter 11
02 30,System[0].System Chorus[1(unique)].Chorus Parameter 12
02 34,System[0].System Chorus[1(unique)].Chorus Parameter 13
02 38,System[0].System Chorus[1(unique)].Chorus Parameter 14
02 3c,System[0].System Chorus[1(unique)].Chorus Parameter 15
02 40,System[0].System Chorus[1(unique)].Chorus Parameter 16
02 44,System[0].System Chorus[1(unique)].Chorus Parameter 17
02 48,System[0].System Chorus[1(unique)].Chorus Parameter 18
02 4c,System[0].System Chorus[1(unique)].Chorus Parameter 19
02 50,System[0].System Chorus[1(unique)].Chorus Parameter 20
03 00,System[0].System Delay[1(unique)].Switch
03 01,System[0].System Delay[1(unique)].Chorus Type
03 02,System[0].System Delay[1(unique)].Chorus Level
03 03,System[0].System Delay[1(unique)].Reverb Send Level
03 04,System[0].System Delay[1(unique)].Chorus Parameter 1
03 08,System[0].System Delay[1(unique)].Chorus Parameter 2
03 0c,System[0].System Delay[1(unique)].Chorus Parameter 3
03 10,System[0].System Delay[1(unique)].Chorus Parameter 4
03 14,System[0].System Delay[1(unique)].Chorus Parameter 5
03 18,System[0].System Delay[1(unique)].Chorus Parameter 6
03 1c,System[0].System Delay[1(unique)].Chorus Parameter 7
03 20,System[0].System Delay[1(unique)].Chorus Parameter 8
03 24,System[0].System Delay[1(unique)].Chorus Parameter 9
03 28,System[0].System Delay[1(unique)].Chorus Parameter 10
03 2c,System[0].System Delay[1(unique)].Chorus Parameter 11
03 30,System[0].System Delay[1(unique)].Chorus Parameter 12
03 34,System[0].System Delay[1(unique)].Chorus Parameter 13
03 38,System[0].System Delay[1(unique)].Chorus Parameter 14
03 3c,System[0].System Delay[1(unique)].Chorus Parameter 15
03 40,System[0].System Delay[1(unique)].Chorus Parameter 16
03 44,System[0].System Delay[1(unique)].Chorus Parameter 17
03 48,System[0].System Delay[1(unique)].Chorus Parameter 18
03 4c,System[0].System Delay[1(unique)].Chorus Parameter 19
03 50,System[0].System Delay[1(unique)].Chorus Parameter 20
04 00,System[0].System Reverb[1(unique)].Switch
04 01,System[0].System Reverb[1(unique)].Reverb Type
